1043.18201	-4.50188	-4.64411	-6.08686	-6.26507	    -0.54545	    -0.16334
1043.68201	-4.50230	-4.64442	-6.08593	-6.26542	    -0.54808	    -0.16393
1044.18201	-4.50335	-4.64457	-6.08745	-6.26322	    -0.55036	    -0.16400
1044.68201	-4.50386	-4.64533	-6.08924	-6.26258	    -0.55233	    -0.16398
1045.18201	-4.50461	-4.64588	-6.08945	-6.26214	    -0.55384	    -0.16414
1045.68201	-4.50456	-4.64661	-6.09042	-6.26345	    -0.55608	    -0.16356
1046.18201	-4.50464	-4.64754	-6.09134	-6.26390	    -0.55845	    -0.16314
1046.68201	-4.50465	-4.64861	-6.09295	-6.26595	    -0.56086	    -0.16332
1047.18201	-4.50568	-4.64894	-6.09355	-6.26669	    -0.56317	    -0.16377
1047.68201	-4.50647	-4.64990	-6.09397	-6.26738	    -0.56578	    -0.16416
1048.18201	-4.50677	-4.65052	-6.09299	-6.26829	    -0.56838	    -0.16395
1048.68201	-4.50709	-4.65084	-6.09101	-6.26796	    -0.57002	    -0.16394
1049.18201	-4.50717	-4.65133	-6.09215	-6.26688	    -0.57246	    -0.16436
1049.68201	-4.50787	-4.65167	-6.09443	-6.26853	    -0.57452	    -0.16536
1050.18201	-4.50928	-4.65161	-6.09654	-6.26866	    -0.57655	    -0.16633
1050.68201	-4.50929	-4.65164	-6.09853	-6.26822	    -0.57855	    -0.16668
1051.18201	-4.50958	-4.65171	-6.09974	-6.26885	    -0.58067	    -0.16602
1051.68201	-4.50928	-4.65209	-6.10015	-6.26953	    -0.58256	    -0.16564
1052.18201	-4.51011	-4.65272	-6.09910	-6.27033	    -0.58423	    -0.16557
1052.68201	-4.51167	-4.65285	-6.09836	-6.27266	    -0.58636	    -0.16588
1053.18201	-4.51305	-4.65340	-6.09815	-6.27395	    -0.58827	    -0.16566
1053.68201	-4.51399	-4.65441	-6.09805	-6.27386	    -0.59100	    -0.16534
1054.18201	-4.51478	-4.65492	-6.09879	-6.27275	    -0.59356	    -0.16552
1054.68201	-4.51437	-4.65423	-6.09775	-6.27315	    -0.59554	    -0.16587
1055.18201	-4.51361	-4.65336	-6.09745	-6.27498	    -0.59650	    -0.16667
1055.68201	-4.51399	-4.65329	-6.09666	-6.27578	    -0.59716	    -0.16685
1056.18201	-4.51425	-4.65373	-6.09792	-6.27424	    -0.59907	    -0.16686
1056.68201	-4.51542	-4.65457	-6.09921	-6.27378	    -0.60219	    -0.16705
1057.18201	-4.51621	-4.65555	-6.10076	-6.27470	    -0.60565	    -0.16741
1057.68201	-4.51586	-4.65632	-6.10155	-6.27535	    -0.60834	    -0.16730
